CLE,ID,CODE
1,0,68 67 d6 42 44 2e 00 01 30 64
1,1,68 67 d6 42 44 2e 00 03 90 3b
1,2,68 67 d6 42 44 2e 00 04 70 df
1,4,68 67 d6 42 44 2e 00 09 11 48
1,8,68 67 d6 42 44 2e 00 11 72 3c
1,10,68 67 d6 42 44 2e 00 21 b4 d4
1,20,68 67 d6 42 44 2e 00 40 39 04
1,40,68 67 d6 42 44 2e 00 81 82 fb
1,80,68 67 d6 42 44 2e 01 00 55 5f
1,100,68 67 d6 42 44 2e 02 01 5a 48
1,200,68 67 d6 42 44 2e 04 01 e4 3c
1,400,68 67 d6 42 44 2e 08 00 98 d4
1,800,68 67 d6 42 44 2e 10 00 c1 5b
1,1000,68 67 d6 42 44 2e 20 00 72 40
1,2000,68 67 d6 42 44 2e 40 01 14 73
1,4000,68 67 d6 42 44 2e 80 01 78 4f
1,8000,68 67 d6 42 44 2f 00 01 a0 37
2,8000,68 67 d6 42 44 4f 00 00 98 3b
3,8000,68 67 d6 42 44 6f 00 00 70 3f
4,8000,68 67 d6 42 44 8f 00 00 48 7c
0,8000,68 67 d6 42 44 0f 00 01 48 33
0,0,68 67 d6 42 44 0e 00 01 d8 60
0,99,68 67 d6 42 44 0e 01 32 db ec
0,9900,68 67 d6 42 44 0f 32 01 91 04
0,9999,68 67 d6 42 44 0f 33 32 92 88
0,1,68 67 d6 42 44 0e 00 03 78 3f
0,100,68 67 d6 42 44 0e 02 01 b2 4c
0,3200,68 67 d6 42 44 0e 64 00 6a 0b
0,32,68 67 d6 42 44 0e 00 65 15 0b
1,0,68 67 d6 42 44 2e 00 01 30 64
1,99,68 67 d6 42 44 2e 01 32 33 e8
2,0,68 67 D6 42 44 4E 00 00 08 68
3,0,68 67 d6 42 44 6e 00 00 E0 6C
4,0,68 67 d6 42 44 8e 00 00 D8 2F
0,0,68 67 d6 42 44 04 00 01 3a fb
0,1,68 67 d6 42 44 04 00 03 9a a4
0,2,68 67 d6 42 44 04 00 04 7a 40
0,4,68 67 d6 42 44 04 00 09 1b d7
0,8,68 67 d6 42 44 04 00 11 78 a3
0,10,68 67 d6 42 44 04 00 21 be 4b
0,20,68 67 d6 42 44 04 00 40 33 9b
0,40,68 67 d6 42 44 04 00 81 88 64
0,80,68 67 d6 42 44 04 01 00 5f c0
0,100,68 67 d6 42 44 04 02 01 50 d7
0,200,68 67 d6 42 44 04 04 01 ee a3
0,400,68 67 d6 42 44 04 08 00 92 4b
0,800,68 67 d6 42 44 04 10 00 cb c4
0,1000,68 67 d6 42 44 04 20 00 78 df
0,2000,68 67 d6 42 44 04 40 01 1e ec
0,4000,68 67 d6 42 44 04 80 01 72 d0
0,8000,68 67 d6 42 44 05 00 01 aa a8
0,99,68 67 d6 42 44 04 01 32 39 77 
0,9900,68 67 d6 42 44 05 32 01 73 9f
0,9999,68 67 d6 42 44 05 33 32 70 13
0,3200,68 67 d6 42 44 04 64 00 88 90
0,32,68 67 d6 42 44 04 00 65 f7 90
0,0,68 67 e0 42 44 00 00 01 05 dc
0,1,68 67 e0 42 44 00 00 03 a5 83
0,2,68 67 e0 42 44 00 00 04 45 67
0,4,68 67 e0 42 44 00 00 09 24 f0
0,8,68 67 e0 42 44 00 00 11 47 84
0,10,68 67 e0 42 44 00 00 21 81 6c
0,20,68 67 e0 42 44 00 00 40 0c bc
0,40,68 67 e0 42 44 00 00 81 b7 43 
0,80,68 67 e0 42 44 00 01 00 60 e7
0,100,68 67 e0 42 44 00 02 01 6f f0
0,200,68 67 e0 42 44 00 04 01 d1 84
0,400,68 67 e0 42 44 00 08 00 ad 6c
0,800,68 67 e0 42 44 00 10 00 f4 e3
0,1000,68 67 e0 42 44 00 20 00 47 f8
0,2000,68 67 e0 42 44 00 40 01 21 cb 
0,4000,68 67 e0 42 44 00 80 01 4d f7
0,8000,68 67 e0 42 44 01 00 01 95 8f
0,99,68 67 e0 42 44 00 01 32 06 50
0,9900,68 67 e0 42 44 01 32 01 4c b8
0,9999,68 67 e0 42 44 01 33 32 4f 34
0,3200,68 67 e0 42 44 00 64 00 b7 b7
0,32,68 67 e0 42 44 00 00 65 c8 b7
0,9942,68 67 d4 42 44 0b 32 85 c0 f0
0,3242,68 67 d4 42 44 0a 64 84 3b ff
